DateUTC,Amount,Symbol,Balance,Type,Pair,FeeSymbol,FeeAmount,Comment
2017-11-12 15:19:19,0.15000000,BCH,0.39950624,buy,BCH/USD,USD,0,Bought 0.15000000 BCH at 1500 USD
2017-11-12 15:14:36,0.10000000,BCH,0.24950624,buy,BCH/BTC,BTC,0,Bought 0.10000000 BCH at 0.24 BTC
2017-11-12 15:10:58,-0.02400000,BTC,0.39606814,buy,,,,Buy Order #5007049254
2017-11-12 15:10:47,-0.10000000,BCH,0.14950624,sell,,,,Sell Order #5007048455
2017-11-12 15:07:58,-225.00,USD,43.98,buy,,,,Buy Order #5007041350
2017-11-12 15:07:39,75.00,USD,268.98,cancel,,,,Cancel Order #5006644691
2017-11-12 15:07:10,-0.25000000,BCH,0.24950624,sell,,,,Sell Order #5007039430
2017-11-12 15:06:57,0.10000000,BCH,0.49950624,cancel,,,,Cancel Order #5006890383
2017-11-12 15:05:43,0.10000000,BCH,0.39950624,cancel,,,,Cancel Order #5006387169
2017-11-12 15:02:01,0.05000000,BCH,0.29950624,buy,BCH/USD,USD,0,Bought 0.05000000 BCH at 1600 USD
2017-11-12 14:56:07,0.10000000,BCH,0.24950624,buy,BCH/USD,USD,0,Bought 0.10000000 BCH at 1670 USD
2017-11-12 14:49:32,155.00,USD,193.98,cancel,,,,Cancel Order #5006643757
2017-11-12 14:47:30,0.05000000,BCH,0.14950624,cancel,,,,Cancel Order #5006947391
2017-11-12 14:46:02,-0.10000000,BCH,0.09950624,sell,,,,Sell Order #5006947865
2017-11-12 14:45:54,-0.05000000,BCH,0.19950624,sell,,,,Sell Order #5006947391
2017-11-12 14:40:54,0.02500000,BCH,0.24950624,buy,BCH/USD,USD,0,Bought 0.02500000 BCH at 1690 USD
2017-11-12 14:37:49,-42.25,USD,38.98,buy,,,,Buy Order #5006921108
2017-11-12 14:27:26,-0.10000000,BCH,0.22450624,sell,,,,Sell Order #5006890383
2017-11-12 14:27:06,-167.00,USD,81.23,buy,,,,Buy Order #5006889536
2017-11-12 14:03:39,0.02500000,BCH,0.32450624,buy,BCH/USD,USD,0,Bought 0.02500000 BCH at 1700 USD
2017-11-12 13:46:18,-42.50,USD,248.23,buy,,,,Buy Order #5006756539
2017-11-12 13:45:27,-80.00,USD,290.73,buy,,,,Buy Order #5006753528
2017-11-12 13:25:03,180.00,USD,370.73,sell,BCH/USD,USD,0,Sold 0.10000000 BCH at 1800 USD
2017-11-12 13:19:30,87.00,USD,190.73,sell,BCH/USD,USD,0,Sold 0.05000000 BCH at 1740 USD
2017-11-12 13:18:59,-0.05000000,BCH,0.29950624,sell,,,,Sell Order #5006647967
